,Sex,Age,SibSp,Parch,Fare,class2,class3,cabinA,cabinB,cabinC,cabinD,cabinE,cabinF,cabinG,cabinT,cherbourg,queenstown,southampton
101,1,27.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
102,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
103,1,26.0,0,0,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
104,0,16.0,1,1,8.5167,0,1,1,0,0,0,0,0,0,0,1,0,0
105,1,28.0,0,0,22.525,0,1,1,0,0,0,0,0,0,0,0,0,1
106,1,21.0,0,0,7.8208,0,1,1,0,0,0,0,0,0,0,0,1,0
107,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
108,1,30.272590361445783,0,0,8.7125,0,1,1,0,0,0,0,0,0,0,0,0,1
109,1,18.5,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1
110,1,41.0,0,0,15.0458,1,0,1,0,0,0,0,0,0,0,1,0,0
111,0,30.272590361445783,0,0,7.7792,0,1,1,0,0,0,0,0,0,0,0,1,0
112,0,36.0,0,0,31.6792,0,0,0,1,0,0,0,0,0,0,1,0,0
113,0,18.5,0,0,7.2833,0,1,1,0,0,0,0,0,0,0,0,1,0
114,0,63.0,1,0,221.7792,0,0,0,0,0,1,0,0,0,0,0,0,1
115,1,18.0,1,0,14.4542,0,1,1,0,0,0,0,0,0,0,1,0,0
116,1,30.272590361445783,0,0,6.4375,0,1,1,0,0,0,0,0,0,0,1,0,0
117,0,1.0,1,1,16.7,0,1,0,0,0,0,0,0,0,1,0,0,1
118,1,36.0,0,0,75.2417,0,0,0,0,0,1,0,0,0,0,1,0,0
119,0,29.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
120,0,12.0,0,0,15.75,1,0,1,0,0,0,0,0,0,0,0,0,1
121,1,30.272590361445783,1,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
122,0,35.0,1,0,57.75,0,0,0,0,0,1,0,0,0,0,1,0,0
123,1,28.0,0,0,7.25,0,1,1,0,0,0,0,0,0,0,0,0,1
124,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
125,0,17.0,0,1,16.1,0,1,1,0,0,0,0,0,0,0,0,0,1
126,1,22.0,0,0,7.7958,0,1,1,0,0,0,0,0,0,0,0,0,1
127,0,30.272590361445783,2,0,23.25,0,1,1,0,0,0,0,0,0,0,0,1,0
128,1,42.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
129,1,24.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
130,1,32.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
131,1,53.0,0,0,28.5,0,0,0,0,0,1,0,0,0,0,1,0,0
132,0,30.272590361445783,0,4,25.4667,0,1,1,0,0,0,0,0,0,0,0,0,1
133,1,30.272590361445783,1,0,6.4375,0,1,1,0,0,0,0,0,0,0,1,0,0
134,1,43.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
135,1,24.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
136,1,26.5,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
137,1,26.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
138,0,23.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
139,1,40.0,1,6,46.9,0,1,1,0,0,0,0,0,0,0,0,0,1
140,0,10.0,5,2,46.9,0,1,1,0,0,0,0,0,0,0,0,0,1
141,0,33.0,0,0,151.55,0,0,1,0,0,0,0,0,0,0,0,0,1
142,1,61.0,1,3,262.375,0,0,0,0,1,0,0,0,0,0,1,0,0
143,1,28.0,0,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
144,1,42.0,0,0,26.55,0,0,1,0,0,0,0,0,0,0,0,0,1
145,1,31.0,3,0,18.0,0,1,1,0,0,0,0,0,0,0,0,0,1
146,1,30.272590361445783,0,0,51.8625,0,0,0,0,0,0,0,1,0,0,0,0,1
147,1,22.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
148,1,30.272590361445783,0,0,26.55,0,0,1,0,0,0,0,0,0,0,0,0,1
149,1,30.0,1,1,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
150,0,23.0,0,1,83.1583,0,0,0,0,0,1,0,0,0,0,1,0,0
151,1,30.272590361445783,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,1,0,0
152,1,60.5,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,1
153,0,36.0,0,2,12.1833,0,1,1,0,0,0,0,0,0,0,0,0,1
154,1,13.0,4,2,31.3875,0,1,1,0,0,0,0,0,0,0,0,0,1
155,1,24.0,0,0,7.55,0,1,1,0,0,0,0,0,0,0,0,0,1
156,0,29.0,0,0,221.7792,0,0,0,0,0,1,0,0,0,0,0,0,1
157,0,23.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
158,1,42.0,0,0,26.55,0,0,0,0,0,0,1,0,0,0,0,0,1
159,0,26.0,0,2,13.775,0,1,1,0,0,0,0,0,0,0,0,0,1
160,0,30.272590361445783,0,0,7.7333,0,1,1,0,0,0,0,0,0,0,0,1,0
161,1,7.0,1,1,15.2458,0,1,1,0,0,0,0,0,0,0,1,0,0
162,0,26.0,0,0,13.5,1,0,1,0,0,0,0,0,0,0,0,0,1
163,1,30.272590361445783,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,1
164,1,41.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
165,0,26.0,1,1,22.025,0,1,1,0,0,0,0,0,0,0,0,0,1
166,1,48.0,0,0,50.4958,0,0,0,0,1,0,0,0,0,0,1,0,0
167,1,18.0,2,2,34.375,0,1,1,0,0,0,0,0,0,0,0,0,1
168,0,30.272590361445783,0,0,27.7208,0,0,1,0,0,0,0,0,0,0,1,0,0
169,0,22.0,0,0,8.9625,0,1,1,0,0,0,0,0,0,0,0,0,1
170,1,30.272590361445783,0,0,7.55,0,1,1,0,0,0,0,0,0,0,0,0,1
171,1,27.0,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
172,1,23.0,1,0,13.9,0,1,1,0,0,0,0,0,0,0,0,0,1
173,1,30.272590361445783,0,0,7.2292,0,1,1,0,0,0,0,0,0,0,1,0,0
174,1,40.0,1,5,31.3875,0,1,1,0,0,0,0,0,0,0,0,0,1
175,0,15.0,0,2,39.0,1,0,1,0,0,0,0,0,0,0,0,0,1
176,0,20.0,0,0,36.75,1,0,1,0,0,0,0,0,0,0,0,0,1
177,1,54.0,1,0,55.4417,0,0,0,0,0,1,0,0,0,0,1,0,0
178,0,36.0,0,3,39.0,1,0,0,0,0,0,0,0,1,0,0,0,1
179,0,64.0,0,2,83.1583,0,0,0,0,0,0,0,1,0,0,1,0,0
180,1,30.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
181,1,37.0,1,1,83.1583,0,0,0,0,0,0,0,1,0,0,1,0,0
182,0,18.0,1,0,53.1,0,0,0,0,0,0,1,0,0,0,0,0,1
183,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
184,0,27.0,1,1,247.5208,0,0,0,0,1,0,0,0,0,0,1,0,0
185,1,40.0,0,0,16.0,1,0,1,0,0,0,0,0,0,0,0,0,1
186,0,21.0,0,1,21.0,1,0,1,0,0,0,0,0,0,0,0,0,1
187,1,17.0,2,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
188,0,30.272590361445783,8,2,69.55,0,1,1,0,0,0,0,0,0,0,0,0,1
189,1,40.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
190,1,34.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
191,1,30.272590361445783,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,1
192,1,11.5,1,1,14.5,0,1,1,0,0,0,0,0,0,0,0,0,1
193,1,61.0,0,0,12.35,1,0,1,0,0,0,0,0,0,0,0,1,0
194,1,8.0,0,2,32.5,1,0,1,0,0,0,0,0,0,0,0,0,1
195,1,33.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
196,1,6.0,0,2,134.5,0,0,0,0,0,0,0,1,0,0,1,0,0
197,0,18.0,0,0,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
198,1,23.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
199,0,30.272590361445783,0,0,8.1125,0,1,1,0,0,0,0,0,0,0,0,0,1
200,0,30.272590361445783,0,0,15.5,0,1,1,0,0,0,0,0,0,0,0,1,0
201,1,0.33,0,2,14.4,0,1,1,0,0,0,0,0,0,0,0,0,1
202,1,47.0,1,0,227.525,0,0,0,0,0,1,0,0,0,0,1,0,0
203,0,8.0,1,1,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
204,1,25.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
205,1,30.272590361445783,0,0,25.7417,0,0,1,0,0,0,0,0,0,0,1,0,0
206,0,35.0,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
207,1,24.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
208,0,33.0,0,0,27.7208,0,0,0,1,0,0,0,0,0,0,1,0,0
209,1,25.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
210,1,32.0,0,0,22.525,0,1,1,0,0,0,0,0,0,0,0,0,1
211,1,30.272590361445783,0,0,7.05,0,1,1,0,0,0,0,0,0,0,0,0,1
212,1,17.0,0,0,73.5,1,0,1,0,0,0,0,0,0,0,0,0,1
213,0,60.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
214,0,38.0,4,2,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
215,1,42.0,0,0,42.5,0,0,0,0,1,0,0,0,0,0,0,0,1
216,0,30.272590361445783,0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1,0
217,1,57.0,1,1,164.8667,0,0,1,0,0,0,0,0,0,0,0,0,1
218,0,50.0,1,1,211.5,0,0,0,0,0,1,0,0,0,0,1,0,0
219,1,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
220,0,30.0,1,0,13.8583,1,0,1,0,0,0,0,0,0,0,1,0,0
221,1,21.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
222,0,22.0,0,0,10.5,1,0,0,0,0,0,0,0,1,0,0,0,1
223,1,21.0,0,0,7.7958,0,1,1,0,0,0,0,0,0,0,0,0,1
224,0,53.0,0,0,27.4458,0,0,1,0,0,0,0,0,0,0,1,0,0
225,0,30.272590361445783,0,2,15.2458,0,1,1,0,0,0,0,0,0,0,1,0,0
226,1,23.0,0,0,7.7958,0,1,1,0,0,0,0,0,0,0,0,0,1
227,0,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
228,1,40.5,0,0,15.1,0,1,1,0,0,0,0,0,0,0,0,0,1
229,1,36.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
230,1,14.0,0,0,65.0,1,0,1,0,0,0,0,0,0,0,0,0,1
231,0,21.0,0,0,26.55,0,0,1,0,0,0,0,0,0,0,0,0,1
232,1,21.0,1,0,6.4958,0,1,1,0,0,0,0,0,0,0,0,0,1
233,1,30.272590361445783,0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1,0
234,1,39.0,1,0,71.2833,0,0,0,0,0,1,0,0,0,0,1,0,0
235,1,20.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
236,1,64.0,1,0,75.25,0,0,0,0,0,0,1,0,0,0,1,0,0
237,1,20.0,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
238,0,18.0,1,1,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
239,0,48.0,1,0,106.425,0,0,0,0,0,1,0,0,0,0,1,0,0
240,0,55.0,0,0,27.7208,0,0,1,0,0,0,0,0,0,0,1,0,0
241,0,45.0,0,2,30.0,1,0,1,0,0,0,0,0,0,0,0,0,1
242,1,45.0,1,1,134.5,0,0,0,0,0,0,0,1,0,0,1,0,0
243,1,30.272590361445783,0,0,7.8875,0,1,1,0,0,0,0,0,0,0,0,0,1
244,1,30.272590361445783,1,2,23.45,0,1,1,0,0,0,0,0,0,0,0,0,1
245,1,41.0,1,0,51.8625,0,0,0,0,0,0,1,0,0,0,0,0,1
246,0,22.0,0,0,21.0,1,0,1,0,0,0,0,0,0,0,0,0,1
247,1,42.0,1,1,32.5,1,0,1,0,0,0,0,0,0,0,0,0,1
248,0,29.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
249,0,30.272590361445783,1,0,14.4542,0,1,1,0,0,0,0,0,0,0,1,0,0
250,0,0.92,1,2,27.75,1,0,1,0,0,0,0,0,0,0,0,0,1
251,1,20.0,0,0,7.925,0,1,1,0,0,0,0,0,0,0,0,0,1
252,1,27.0,1,0,136.7792,0,0,0,0,0,1,0,0,0,0,1,0,0
253,1,24.0,0,0,9.325,0,1,1,0,0,0,0,0,0,0,0,0,1
254,1,32.5,0,0,9.5,0,1,1,0,0,0,0,0,0,0,0,0,1
255,1,30.272590361445783,0,0,7.55,0,1,1,0,0,0,0,0,0,0,0,0,1
256,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
257,1,28.0,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
258,0,19.0,0,0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1
259,1,21.0,0,0,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
260,1,36.5,1,0,17.4,0,1,1,0,0,0,0,0,0,0,0,0,1
261,1,21.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
262,0,29.0,0,2,23.0,1,0,1,0,0,0,0,0,0,0,0,0,1
263,0,1.0,1,1,12.1833,0,1,1,0,0,0,0,0,0,0,0,0,1
264,1,30.0,0,0,12.7375,1,0,1,0,0,0,0,0,0,0,1,0,0
265,1,30.272590361445783,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
266,1,30.272590361445783,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1
267,1,30.272590361445783,0,0,7.55,0,1,1,0,0,0,0,0,0,0,0,0,1
268,0,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
269,1,17.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
270,1,46.0,0,0,75.2417,0,0,0,0,0,1,0,0,0,0,1,0,0
271,1,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
272,0,26.0,1,0,136.7792,0,0,0,0,0,1,0,0,0,0,1,0,0
273,0,30.272590361445783,1,0,15.5,0,1,1,0,0,0,0,0,0,0,0,1,0
274,1,30.272590361445783,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
275,0,20.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
276,1,28.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
277,1,40.0,1,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,1
278,1,30.0,1,0,21.0,1,0,1,0,0,0,0,0,0,0,0,0,1
279,1,22.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
280,0,23.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
281,1,0.75,1,1,13.775,0,1,1,0,0,0,0,0,0,0,0,0,1
282,0,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
283,0,9.0,1,1,15.2458,0,1,1,0,0,0,0,0,0,0,1,0,0
284,0,2.0,1,1,20.2125,0,1,1,0,0,0,0,0,0,0,0,0,1
285,1,36.0,0,0,7.25,0,1,1,0,0,0,0,0,0,0,0,0,1
286,1,30.272590361445783,0,0,7.25,0,1,1,0,0,0,0,0,0,0,0,0,1
287,1,24.0,1,0,82.2667,0,0,0,0,1,0,0,0,0,0,0,0,1
288,1,30.272590361445783,0,0,7.2292,0,1,0,0,0,0,0,0,1,0,1,0,0
289,1,30.272590361445783,0,0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,1
290,1,30.272590361445783,0,0,39.6,0,0,1,0,0,0,0,0,0,0,0,0,1
291,0,30.0,0,0,6.95,0,1,1,0,0,0,0,0,0,0,0,1,0
292,1,30.272590361445783,0,0,7.2292,0,1,1,0,0,0,0,0,0,0,1,0,0
293,1,53.0,1,1,81.8583,0,0,0,1,0,0,0,0,0,0,0,0,1
294,1,36.0,0,0,9.5,0,1,1,0,0,0,0,0,0,0,0,0,1
295,1,26.0,0,0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,1
296,0,1.0,1,2,41.5792,1,0,1,0,0,0,0,0,0,0,1,0,0
297,1,30.272590361445783,2,0,21.6792,0,1,1,0,0,0,0,0,0,0,1,0,0
298,1,30.0,0,0,45.5,0,0,1,0,0,0,0,0,0,0,0,0,1
299,1,29.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
300,1,32.0,0,0,7.775,0,1,1,0,0,0,0,0,0,0,0,0,1
301,1,30.272590361445783,0,0,15.0458,1,0,0,0,0,0,1,0,0,0,1,0,0
302,1,43.0,0,1,21.0,1,0,1,0,0,0,0,0,0,0,0,0,1
303,1,24.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
304,0,30.272590361445783,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
305,0,64.0,1,1,26.55,0,0,0,0,1,0,0,0,0,0,0,0,1
306,1,30.0,1,2,151.55,0,0,0,0,0,1,0,0,0,0,0,0,1
307,1,0.83,0,1,9.35,0,1,1,0,0,0,0,0,0,0,0,0,1
308,1,55.0,1,1,93.5,0,0,0,0,1,0,0,0,0,0,0,0,1
309,0,45.0,1,0,14.1083,0,1,1,0,0,0,0,0,0,0,0,0,1
310,1,18.0,0,0,8.6625,0,1,1,0,0,0,0,0,0,0,0,0,1
311,1,22.0,0,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0,0
312,1,30.272590361445783,0,0,7.575,0,1,1,0,0,0,0,0,0,0,0,0,1
313,0,37.0,0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1,0
314,0,55.0,0,0,135.6333,0,0,0,0,0,1,0,0,0,0,1,0,0
315,0,17.0,0,0,7.7333,0,1,1,0,0,0,0,0,0,0,0,1,0
316,1,57.0,1,0,146.5208,0,0,0,0,1,0,0,0,0,0,1,0,0
317,1,19.0,0,0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,1
318,1,27.0,0,0,7.8542,0,1,1,0,0,0,0,0,0,0,0,0,1
319,1,22.0,2,0,31.5,1,0,1,0,0,0,0,0,0,0,0,0,1
