,Survived,Sex,Age,SibSp,Parch,Fare,class2,class3,cabinA,cabinB,cabinC,cabinD,cabinE,cabinF,cabinG,cabinT,cherbourg,queenstown,southampton
195,1,0,58.0,0,0,146.5208,0,0,0,1,0,0,0,0,0,0,1,0,0
553,1,1,22.0,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
487,0,1,58.0,0,0,29.7,0,0,0,1,0,0,0,0,0,0,1,0,0
575,0,1,19.0,0,0,14.5,0,1,0,0,0,0,0,0,0,0,0,0,1
365,0,1,30.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
679,1,1,36.0,0,1,512.3292,0,0,0,1,0,0,0,0,0,0,1,0,0
482,0,1,50.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
580,1,0,25.0,1,1,30.0,1,0,0,0,0,0,0,0,0,0,0,0,1
191,0,1,19.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
127,1,1,24.0,0,0,7.1417,0,1,0,0,0,0,0,0,0,0,0,0,1
560,0,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
358,1,0,29.69911764705882,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0
307,1,0,17.0,1,0,108.9,0,0,0,0,1,0,0,0,0,0,1,0,0
18,0,0,31.0,1,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,1
835,1,0,39.0,1,1,83.1583,0,0,0,0,0,0,1,0,0,0,1,0,0
542,0,0,11.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
748,0,1,19.0,1,0,53.1,0,0,0,0,0,1,0,0,0,0,0,0,1
377,0,1,27.0,0,2,211.5,0,0,0,0,1,0,0,0,0,0,1,0,0
669,1,0,29.69911764705882,1,0,52.0,0,0,0,0,1,0,0,0,0,0,0,0,1
424,0,1,18.0,1,1,20.2125,0,1,0,0,0,0,0,0,0,0,0,0,1
211,1,0,35.0,0,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,1
446,1,0,13.0,0,1,19.5,1,0,0,0,0,0,0,0,0,0,0,0,1
308,0,1,30.0,1,0,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0
202,0,1,34.0,0,0,6.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
150,0,1,51.0,0,0,12.525,1,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,27.0,0,2,11.1333,0,1,0,0,0,0,0,0,0,0,0,0,1
878,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
90,0,1,29.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
884,0,1,25.0,0,0,7.05,0,1,0,0,0,0,0,0,0,0,0,0,1
671,0,1,31.0,1,0,52.0,0,0,0,1,0,0,0,0,0,0,0,0,1
279,1,0,35.0,1,1,20.25,0,1,0,0,0,0,0,0,0,0,0,0,1
819,0,1,10.0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0,1,2.0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,1
20,0,1,35.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
783,0,1,29.69911764705882,1,2,23.45,0,1,0,0,0,0,0,0,0,0,0,0,1
59,0,1,11.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,1
342,0,1,28.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
172,1,0,1.0,1,1,11.1333,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,0,4.0,1,1,16.7,0,1,0,0,0,0,0,0,1,0,0,0,1
216,1,0,27.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
182,0,1,9.0,4,2,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,1
779,1,0,43.0,0,1,211.3375,0,0,0,1,0,0,0,0,0,0,0,0,1
106,1,0,21.0,0,0,7.65,0,1,0,0,0,0,0,0,0,0,0,0,1
489,1,1,9.0,1,1,15.9,0,1,0,0,0,0,0,0,0,0,0,0,1
640,0,1,20.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
80,0,1,22.0,0,0,9.0,0,1,0,0,0,0,0,0,0,0,0,0,1
317,0,1,54.0,0,0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,1
350,0,1,23.0,0,0,9.225,0,1,0,0,0,0,0,0,0,0,0,0,1
366,1,0,60.0,1,0,75.25,0,0,0,0,0,1,0,0,0,0,1,0,0
34,0,1,28.0,1,0,82.1708,0,0,0,0,0,0,0,0,0,0,1,0,0
495,0,1,29.69911764705882,0,0,14.4583,0,1,0,0,0,0,0,0,0,0,1,0,0
92,0,1,46.0,1,0,61.175,0,0,0,0,0,0,1,0,0,0,0,0,1
602,0,1,29.69911764705882,0,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,1
614,0,1,35.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
525,0,1,40.5,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
731,0,1,11.0,0,0,18.7875,0,1,0,0,0,0,0,0,0,0,1,0,0
214,0,1,29.69911764705882,1,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
36,1,1,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
776,0,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,1,0,0,0,1,0
870,0,1,26.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
119,0,0,2.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
828,1,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
391,1,1,21.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
532,0,1,17.0,1,1,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
598,0,1,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
710,1,0,24.0,0,0,49.5042,0,0,0,0,1,0,0,0,0,0,1,0,0
499,0,1,24.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
320,0,1,22.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
488,0,1,30.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
452,0,1,30.0,0,0,27.75,0,0,0,0,1,0,0,0,0,0,1,0,0
338,1,1,45.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
333,0,1,16.0,2,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,1
641,1,0,24.0,0,0,69.3,0,0,0,1,0,0,0,0,0,0,1,0,0
328,1,0,31.0,1,1,20.525,0,1,0,0,0,0,0,0,0,0,0,0,1
120,0,1,21.0,2,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,1
721,0,1,17.0,1,0,7.0542,0,1,0,0,0,0,0,0,0,0,0,0,1
730,1,0,29.0,0,0,211.3375,0,0,0,1,0,0,0,0,0,0,0,0,1
440,1,0,45.0,1,1,26.25,1,0,0,0,0,0,0,0,0,0,0,0,1
769,0,1,32.0,0,0,8.3625,0,1,0,0,0,0,0,0,0,0,0,0,1
387,1,0,36.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
46,0,1,29.69911764705882,1,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0
250,0,1,29.69911764705882,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
481,0,1,29.69911764705882,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
180,0,0,29.69911764705882,8,2,69.55,0,1,0,0,0,0,0,0,0,0,0,0,1
325,1,0,36.0,0,0,135.6333,0,0,0,0,1,0,0,0,0,0,1,0,0
821,1,1,27.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1
547,1,1,29.69911764705882,0,0,13.8625,1,0,0,0,0,0,0,0,0,0,1,0,0
522,0,1,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
801,1,0,31.0,1,1,26.25,1,0,0,0,0,0,0,0,0,0,0,0,1
266,0,1,16.0,4,1,39.6875,0,1,0,0,0,0,0,0,0,0,0,0,1
592,0,1,47.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
528,0,1,39.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
834,0,1,18.0,0,0,8.3,0,1,0,0,0,0,0,0,0,0,0,0,1
738,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
544,0,1,50.0,1,0,106.425,0,0,0,0,1,0,0,0,0,0,1,0,0
156,1,0,16.0,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,1,0
476,0,1,34.0,1,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,1
370,1,1,25.0,1,0,55.4417,0,0,0,0,0,0,1,0,0,0,1,0,0
395,0,1,22.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
739,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
204,1,1,18.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
337,1,0,41.0,0,0,134.5,0,0,0,0,0,0,1,0,0,0,1,0,0
780,1,0,13.0,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
348,1,1,3.0,1,1,15.9,0,1,0,0,0,0,0,0,0,0,0,0,1
767,0,0,30.5,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
364,0,1,29.69911764705882,1,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0
128,1,0,29.69911764705882,1,1,22.3583,0,1,0,0,0,0,0,1,0,0,1,0,0
695,0,1,52.0,0,0,13.5,1,0,0,0,0,0,0,0,0,0,0,0,1
389,1,0,17.0,0,0,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,1,0,14.0,1,0,30.0708,1,0,0,0,0,0,0,0,0,0,1,0,0
296,0,1,23.5,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
189,0,1,36.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
173,0,1,21.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
734,0,1,23.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
471,0,1,38.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1
89,0,1,24.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
357,0,0,38.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
652,0,1,21.0,0,0,8.4333,0,1,0,0,0,0,0,0,0,0,0,0,1
647,1,1,56.0,0,0,35.5,0,0,1,0,0,0,0,0,0,0,1,0,0
856,1,0,45.0,1,1,164.8667,0,0,0,0,0,0,0,0,0,0,0,0,1
421,0,1,21.0,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,1,0
694,0,1,60.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
428,0,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
431,1,0,29.69911764705882,1,0,16.1,0,1,0,0,0,0,0,0,0,0,0,0,1
563,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
484,1,1,25.0,1,0,91.0792,0,0,0,1,0,0,0,0,0,0,1,0,0
811,0,1,39.0,0,0,24.15,0,1,0,0,0,0,0,0,0,0,0,0,1
29,0,1,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
49,0,0,18.0,1,0,17.8,0,1,0,0,0,0,0,0,0,0,0,0,1
105,0,1,28.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
616,0,1,34.0,1,1,14.4,0,1,0,0,0,0,0,0,0,0,0,0,1
533,1,0,29.69911764705882,0,2,22.3583,0,1,0,0,0,0,0,0,0,0,1,0,0
270,0,1,29.69911764705882,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,1
664,1,1,20.0,1,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
557,0,1,29.69911764705882,0,0,227.525,0,0,0,0,0,0,0,0,0,0,1,0,0
540,1,0,36.0,0,2,71.0,0,0,0,1,0,0,0,0,0,0,0,0,1
498,0,0,25.0,1,2,151.55,0,0,0,0,1,0,0,0,0,0,0,0,1
604,1,1,35.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,1,0,0
53,1,0,29.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,0,0,8.0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,1
854,0,0,44.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
352,0,1,15.0,1,1,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
781,1,0,17.0,1,0,57.0,0,0,0,1,0,0,0,0,0,0,0,0,1
449,1,1,52.0,0,0,30.5,0,0,0,0,1,0,0,0,0,0,0,0,1
479,1,0,2.0,0,1,12.2875,0,1,0,0,0,0,0,0,0,0,0,0,1
248,1,1,37.0,1,1,52.5542,0,0,0,0,0,1,0,0,0,0,0,0,1
504,1,0,16.0,0,0,86.5,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,38.0,1,0,71.2833,0,0,0,0,1,0,0,0,0,0,1,0,0
885,0,0,39.0,0,5,29.125,0,1,0,0,0,0,0,0,0,0,0,1,0
213,0,1,30.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
574,0,1,16.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
886,0,1,27.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
701,1,1,35.0,0,0,26.2875,0,0,0,0,0,0,1,0,0,0,0,0,1
237,1,0,8.0,0,2,26.25,1,0,0,0,0,0,0,0,0,0,0,0,1
841,0,1,16.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
205,0,0,2.0,0,1,10.4625,0,1,0,0,0,0,0,0,1,0,0,0,1
171,0,1,4.0,4,1,29.125,0,1,0,0,0,0,0,0,0,0,0,1,0
661,0,1,40.0,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
57,0,1,28.5,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
140,0,0,29.69911764705882,0,2,15.2458,0,1,0,0,0,0,0,0,0,0,1,0,0
425,0,1,29.69911764705882,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
825,0,1,29.69911764705882,0,0,6.95,0,1,0,0,0,0,0,0,0,0,0,1,0
137,0,1,37.0,1,0,53.1,0,0,0,0,1,0,0,0,0,0,0,0,1
292,0,1,36.0,0,0,12.875,1,0,0,0,0,1,0,0,0,0,1,0,0
63,0,1,4.0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,1
178,0,1,30.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
756,0,1,28.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,0,0,0,1
272,1,0,41.0,0,1,19.5,1,0,0,0,0,0,0,0,0,0,0,0,1
799,0,0,30.0,1,1,24.15,0,1,0,0,0,0,0,0,0,0,0,0,1
555,0,1,62.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,1,40.0,0,0,27.7208,0,0,0,0,0,0,0,0,0,0,1,0,0
261,1,1,3.0,4,2,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,1
875,1,0,15.0,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
874,1,0,28.0,1,0,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0
187,1,1,45.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1
327,1,0,36.0,0,0,13.0,1,0,0,0,0,1,0,0,0,0,0,0,1
510,1,1,29.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
502,0,0,29.69911764705882,0,0,7.6292,0,1,0,0,0,0,0,0,0,0,0,1,0
505,0,1,18.0,1,0,108.9,0,0,0,0,1,0,0,0,0,0,1,0,0
705,0,1,39.0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
121,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
44,1,0,19.0,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,1,0
677,1,0,18.0,0,0,9.8417,0,1,0,0,0,0,0,0,0,0,0,0,1
625,0,1,61.0,0,0,32.3208,0,0,0,0,0,1,0,0,0,0,0,0,1
416,1,0,34.0,1,1,32.5,1,0,0,0,0,0,0,0,0,0,0,0,1
584,0,1,29.69911764705882,0,0,8.7125,0,1,0,0,0,0,0,0,0,0,1,0,0
141,1,0,22.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,1
219,0,1,30.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
225,0,1,22.0,0,0,9.35,0,1,0,0,0,0,0,0,0,0,0,0,1
267,1,1,25.0,1,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
644,1,0,0.75,2,1,19.2583,0,1,0,0,0,0,0,0,0,0,1,0,0
253,0,1,30.0,1,0,16.1,0,1,0,0,0,0,0,0,0,0,0,0,1
527,0,1,29.69911764705882,0,0,221.7792,0,0,0,0,1,0,0,0,0,0,0,0,1
559,1,0,36.0,1,0,17.4,0,1,0,0,0,0,0,0,0,0,0,0,1
418,0,1,30.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,0,1,20.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
45,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
407,1,1,3.0,1,1,18.75,1,0,0,0,0,0,0,0,0,0,0,0,1
657,0,0,32.0,1,1,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0
16,0,1,2.0,4,1,29.125,0,1,0,0,0,0,0,0,0,0,0,1,0
729,0,0,25.0,1,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
526,1,0,50.0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,1
235,0,0,29.69911764705882,0,0,7.55,0,1,0,0,0,0,0,0,0,0,0,0,1
228,0,1,18.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
318,1,0,31.0,0,2,164.8667,0,0,0,0,1,0,0,0,0,0,0,0,1
71,0,0,16.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,1
589,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
419,0,0,10.0,0,2,24.15,0,1,0,0,0,0,0,0,0,0,0,0,1
77,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
490,0,1,29.69911764705882,1,0,19.9667,0,1,0,0,0,0,0,0,0,0,0,0,1
222,0,1,51.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
543,1,1,32.0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1
613,0,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
541,0,0,9.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
813,0,0,6.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1
773,0,1,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,0,1,0,0
88,1,0,23.0,3,2,263.0,0,0,0,0,1,0,0,0,0,0,0,0,1
136,1,0,19.0,0,2,26.2833,0,0,0,0,0,1,0,0,0,0,0,0,1
785,0,1,25.0,0,0,7.25,0,1,0,0,0,0,0,0,0,0,0,0,1
599,1,1,49.0,1,0,56.9292,0,0,1,0,0,0,0,0,0,0,1,0,0
283,1,1,19.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
454,0,1,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
500,0,1,17.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,1
719,0,1,33.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
726,1,0,30.0,3,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,1
494,0,1,21.0,0,0,8.05,0,1,0,0,0,0,0,0,0,0,0,0,1
865,1,0,42.0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1
177,0,0,50.0,0,0,28.7125,0,0,0,0,1,0,0,0,0,0,1,0,0
683,0,1,14.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,1
285,0,1,33.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,0,1,0,0
798,0,1,30.0,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
313,0,1,28.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1
409,0,0,29.69911764705882,3,1,25.4667,0,1,0,0,0,0,0,0,0,0,0,0,1
25,1,0,38.0,1,5,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,1
572,1,1,36.0,0,0,26.3875,0,0,0,0,0,0,1,0,0,0,0,0,1
833,0,1,23.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1
300,1,0,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
675,0,1,18.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1
853,1,0,16.0,0,1,39.4,0,0,0,0,0,1,0,0,0,0,0,0,1
243,0,1,22.0,0,0,7.125,0,1,0,0,0,0,0,0,0,0,0,0,1
260,0,1,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0
129,0,1,45.0,0,0,6.975,0,1,0,0,0,0,0,0,0,0,0,0,1
810,0,1,26.0,0,0,7.8875,0,1,0,0,0,0,0,0,0,0,0,0,1
680,0,0,29.69911764705882,0,0,8.1375,0,1,0,0,0,0,0,0,0,0,0,1,0
166,1,0,29.69911764705882,0,1,55.0,0,0,0,0,0,0,1,0,0,0,0,0,1
840,0,1,20.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1
356,1,0,22.0,0,1,55.0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,1,0,35.0,1,0,53.1,0,0,0,0,1,0,0,0,0,0,0,0,1
848,0,1,28.0,0,1,33.0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,1,1,32.0,0,0,56.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
867,0,1,31.0,0,0,50.4958,0,0,1,0,0,0,0,0,0,0,0,0,1
531,0,1,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,0,1,0,0
514,0,1,24.0,0,0,7.4958,0,1,0,0,0,0,0,0,0,0,0,0,1
